mergedTuple,Entry,KE (MeV),px,py,pz,KE,px,py,pz
82,11,4565.67,143,-742.54,4607.86,417.65,-133.81,860.78,446.22
82,12,4565.67,143,-742.54,4607.86,417.65,-133.81,860.78,446.22
82,13,3748.94,248.28,-381.07,3825.57,274.67,-314.87,463.9,525.72
82,14,4250.96,511.6,-76.89,4323.86,314.37,-528.84,-76.85,634.83
82,16,2757.36,-629.93,-6.59,2790.2,348.38,-275.99,26.01,835.52
82,18,2785.6,372.19,562.98,2808.74,167.3,-393.09,-287.8,323.26
82,20,1849.4,-123.64,-473.42,1889.24,390.43,294.71,78.42,889.87
82,24,7173.5,630.42,246.85,7246.19,448.98,-521.02,-342.79,809.25
82,26,5471.86,533.41,163.36,5547.89,158.98,-508.01,148.36,208.4
82,27,5306.11,571.45,7.71,5379.82,82.91,-139.28,-123.31,357.5
82,28,4447.16,679.95,274.96,4491.46,261.67,-638.88,-231.2,312.63
83,0,2442.1,-501.87,83.66,2493.55,220.24,364.34,133.46,557.79
83,1,3919.1,246.48,549.03,3977.45,239.82,-128.64,-553.41,429.65
83,2,5873.97,354.96,396.56,5954.31,153.24,272.82,-338.57,349.15
83,3,1776.51,457.53,309.14,1795.59,149.17,-259.55,239.77,420.98
83,5,4620.5,-421.62,-28.74,4705.4,144.91,361.97,226.93,332.18
83,6,1779.77,429.22,398.2,1788.44,205.87,-289.38,-419.28,411.17
83,8,4470.1,-410.55,243.44,4548.92,274.01,622.73,-234.14,382.76
83,9,6143.05,575.73,-208.77,6217.08,239.48,-554.96,226.27,383.98
83,11,3360.48,-367.32,101.81,3442.85,154.37,291.14,-215.87,426.69
83,12,8105.77,492.53,180.99,8193.31,262.09,-456.35,122.45,580.62
83,21,4626.38,562.84,210.73,4691.88,393.73,-343.55,-362.52,802.64
83,22,5859.37,-321.71,-358.29,5943.97,205.75,428.77,-186.14,458.07
83,23,6464.48,203.07,-447.22,6550.25,339.28,-448.62,359.65,648.83
83,24,2043.89,111.11,-397.58,2106.25,181.23,-57.81,348.66,497.92
83,25,2801.74,490.29,-361.08,2840.31,191.37,-370.49,401.47,311.74
83,26,1989.1,-514.94,-260.37,2010.29,190.42,505.82,-240.96,282.11
83,27,2976.44,-545.03,92.88,3029.62,247.47,646.02,25.55,327.89
83,28,3155.99,-77,-456.29,3226.28,182.35,-329.76,6.35,516.29
83,29,347.48,-678.42,-85.63,552.29,3239.81,645.75,-215.09,3273.15
83,30,3825.56,347.93,407.92,3892.41,205.68,-378.77,-345.42,406.68
83,31,3436.2,-364.11,-179.75,3516.28,129.24,409.97,164.62,252.94
83,32,5744.91,642.16,58.67,5813.31,361.11,-609.49,-23.83,660.14
83,34,2669.42,185.75,498.26,2720.96,329.2,-102.4,-527.81,660.97
83,40,5091.6,580.12,-361.81,5150.36,386.2,-581.39,512.61,522.38
83,41,1957.75,133.12,-659.84,1947,262.85,-279.68,615.2,324.81
83,42,5764.39,403.82,413.4,5839.92,238.55,-445.38,-461.94,304.45
86,0,4503.58,-433.39,112.47,4585.57,4503.58,-433.39,112.47,4585.57
86,2,2743.16,222.61,525.29,2788.46,191.42,-177.26,-482.08,363.2
86,5,1934.19,454.36,-183.17,1976.68,174.27,-513.73,-88.14,292.61
86,7,2789.48,-294.39,482.11,2836.88,149.96,138.79,-467.04,257.74
86,8,3671.37,-182.73,172.11,3766.55,869.01,238.21,540.48,1427.09
86,10,2358.49,371.89,-213.04,2423.65,454.58,-800.19,446.21,469.06
86,11,2586.38,617.78,315.8,2598.3,113.69,-351.78,130.5,292.26
86,14,6463.82,667.37,-149.54,6532.28,122.47,-295.23,92.21,386.13
86,15,3922.13,-335.88,630.62,3961.85,239.12,341.23,-453.02,429.06
86,17,3864.58,315.9,-408.48,3934.45,164.64,-4.55,510.68,274.16
86,19,5010.81,285.76,655.39,5064.51,237.61,-269.95,-539.26,372.2
86,22,3393.68,486.02,244.93,3454.5,218.9,-385.96,-241.98,501.06
86,24,5163.24,-119.85,597.13,5231.86,277.76,131.64,-588.04,484.88
86,27,5301.64,-481.53,-119.84,5382.79,226.14,170.16,26.89,667.61
86,28,3481.72,488.23,315.21,3537.77,181.29,156.37,20.19,590.01
