date,time,LE1,TE1,LE2,TE2,LE3,TE3,LE4,TE4
210622,61808.43733,31,58,25,65,36,52,36,56
210622,61813.60109,31,48,29,46,34,53,36,63
210622,61815.01971,5,40,3,40,8,23,19,33
210622,61816.82805,18,32,11,37,21,38,23,45
210622,61817.23647,22,39,21,39,28,45,26,52
210622,61846.06837,26,48,23,46,30,49,31,54
210622,61846.6355,2,27,2,17,6,23,11,31
210622,61848.95443,18,41,16,39,22,47,25,44
210622,61854.56277,6,26,3,26,11,27,14,29
210622,61854.64922,35,71,31,-1,34,-1,37,73
210622,61855.43449,31,49,30,48,38,52,38,59
210622,61862.30872,20,49,17,51,24,44,29,48
210622,61864.67045,24,47,19,58,22,42,28,66
210622,61868.22084,25,44,21,38,30,46,32,50
210622,61875.73159,17,36,14,33,21,38,23,44
210622,61882.10859,9,30,7,29,14,39,17,33
210622,61885.89168,12,30,8,29,16,32,17,36
210622,61887.26293,22,41,18,41,26,41,29,51
210622,61890.2665,27,39,18,49,27,53,30,48
210622,61892.87575,24,39,21,40,29,47,25,52
210622,61908.87766,11,34,13,29,21,32,19,43
210622,61911.61369,20,47,18,47,27,45,27,48
210622,61926.30711,5,22,0,21,9,26,11,27
210622,61928.71333,19,34,14,43,23,38,23,43
210622,61945.28212,10,32,8,28,15,36,17,35
210622,61948.49821,20,41,20,43,26,44,28,47
210622,61952.22478,33,52,28,50,34,60,41,57
210622,61991.73062,14,-1,15,47,25,41,28,42
210622,62006.45231,29,35,24,43,25,45,29,54
210622,62016.02181,7,31,8,29,14,29,15,38
210622,62023.3401,27,32,17,47,24,42,26,44
210622,62024.78886,2,21,3,21,8,26,12,34
210622,62026.91177,18,36,13,37,21,37,25,42
210622,62037.05852,34,49,28,50,35,56,39,53
210622,62044.38233,17,37,16,37,22,44,23,47
210622,62064.42588,22,37,18,42,26,42,26,45
210622,62070.31825,25,38,20,45,31,41,29,48
210622,62072.5636,3,28,5,22,14,27,12,33
210622,62085.15503,10,29,7,31,14,38,17,35
210622,62087.17025,18,39,16,36,21,42,24,43
210622,62098.69879,23,45,21,46,30,48,32,46
210622,62109.43195,31,54,26,59,34,52,38,53
210622,62112.17588,11,33,9,32,18,34,20,34
210622,62118.3292,5,19,1,20,8,25,10,27
210622,62133.21567,27,43,18,46,30,45,31,49
210622,62152.0933,10,48,8,-1,19,42,19,44
210622,62152.48005,10,24,3,27,13,29,12,38
210622,62160.28424,34,51,31,53,37,59,43,57
210622,62164.07804,3,23,1,18,9,27,11,27
210622,62171.94047,14,33,13,33,20,38,22,39
210622,62184.27137,16,33,13,37,21,38,20,46
210622,62187.19236,19,38,17,37,24,39,27,46
210622,62187.88576,19,44,15,47,28,39,22,58
210622,62193.75993,30,48,30,53,37,52,35,54
210622,62196.02579,2,26,1,20,7,23,8,29
210622,62207.29448,24,45,19,44,25,51,27,60
210622,62242.42891,8,25,5,25,10,29,13,33
