mergedTuple,Entry,Bg=1,Slice No.,KE (MeV),v/c,px,py,pz,KE,v/c,px,py,pz
82,3,,12,6219.883577,0.999862192,652.1494427,127.4699382,6289.004673,218.3396342,0.584796054,-569.02119,20.31812755,364.8005051
82,4,1,,,,,,,,,,,
82,5,,3,5435.507463,0.999820407,-198.1589906,587.3342483,5504.722467,423.5925167,0.72485715,-95.47126145,-762.4182368,619.4302641
82,6,,4,6150.108587,0.999859101,-8.648825615,487.7812174,6235.170656,209.895356,0.576428406,114.8120759,-352.3822577,548.1465863
82,7,1,,,,,,,,,,,
82,8,,7,4630.115607,0.99975411,366.8797845,-218.4493469,4714.655228,111.1212908,0.447904191,-184.4130565,325.2841918,284.5935732
82,9,,7,4551.987224,0.999745789,-517.4630764,-444.1286731,4605.59298,499.9869384,0.757960219,91.09648546,651.1121874,869.3197252
82,10,,10,3584.249407,0.999594902,-620.6861321,274.2899649,3624.782742,345.9619798,0.682857895,197.8292084,-15.9791741,854.0038852
82,11,,8,4565.672742,0.999747277,143.0009315,-742.5361758,4607.857379,417.6543916,0.721977279,-133.813624,860.7779279,446.2175504
82,12,,3,4565.672742,0.999747277,143.0009315,-742.5361758,4607.857379,417.6543916,0.721977279,-133.813624,860.7779279,446.2175504
82,13,,5,3748.940555,0.99962879,248.2779176,-381.0651671,3825.569266,274.6729125,0.633798814,-314.8734257,463.9010508,525.7205851
82,14,,12,4250.962215,0.999709435,511.5962113,-76.88810634,4323.856999,314.3704568,0.662592988,-528.8360918,-76.85256917,634.833704
82,15,1,,,,,,,,,,,
82,16,,8,2757.357767,0.999326951,-629.9286668,-6.586807075,2790.19954,348.3833273,0.684326085,-275.9934761,26.00725496,835.5173778
82,17,1,,,,,,,,,,,
82,18,,16,2785.595696,0.999340041,372.1888001,562.9812589,2808.744573,167.3018347,0.528975702,-393.0939762,-287.7951856,323.2633645
82,19,1,,,,,,,,,,,
82,20,,13,1849.397679,0.99855577,-123.6418111,-473.4238404,1889.240021,390.4251521,0.708112882,294.7072815,78.41753264,889.8694811
82,21,1,,,,,,,,,,,
82,22,1,,,,,,,,,,,
82,23,1,,,,,,,,,,,
82,24,,,7173.502356,0.999895939,630.4152241,246.8516524,7246.186062,448.9758373,0.736634086,-521.0205581,-342.7857687,809.2548845
82,25,1,,,,,,,,,,,
82,26,,3,5471.856969,0.999822741,533.4141147,163.3571742,5547.890813,158.9786174,0.518502818,-508.0118253,148.364515,208.3987598
82,27,,9,5306.108162,0.999811714,571.4461715,7.706618455,5379.819367,82.90976088,0.394750501,-139.2830791,-123.3110877,357.5015236
82,28,,2,4447.161616,0.999733945,679.9495299,274.9593966,4491.46038,261.6693151,0.623426286,-638.8843485,-231.2019812,312.6258127
83,0,,5,2442.098233,0.999149955,-501.8671638,83.6578531,2493.554716,220.2417734,0.58663951,364.3351206,133.4582114,557.7892356
83,1,,7,3919.09607,0.999659525,246.4818134,549.0310167,3977.453436,239.8179114,0.604786096,-128.6419045,-553.4075413,429.653798
83,2,,13,5873.966926,0.999845784,354.9602739,396.5575566,5954.306493,153.2420265,0.511016336,272.8182156,-338.573112,349.1470027
83,3,,13,1776.505927,0.998441611,457.5257585,309.140377,1795.589586,149.1650417,0.505554824,-259.5542403,239.7735684,420.9798809
83,4,1,,,,,,,,,,,
83,5,,13,4620.500809,0.999753108,-421.6208049,-28.74120273,4705.395067,144.9149086,0.499730912,361.9654,226.9262193,332.1840445
83,6,,9,1779.765234,0.998447,429.2212457,398.2030824,1788.440218,205.8692633,0.572329447,-289.3793016,-419.2797703,411.1653992
83,7,1,,,,,,,,,,,
83,8,,12,4470.095923,0.999736606,-410.5476707,243.4429041,4548.918977,274.0064929,0.633279408,622.7277497,-234.1373204,382.7605045
83,9,,6,6143.048731,0.999858782,575.7305272,-208.7708163,6217.076246,239.4828388,0.604487557,-554.9643004,226.2661539,383.9792816
83,10,1,,,,,,,,,,,
83,11,,4,3360.482237,0.999540886,-367.3233788,101.8135403,3442.854873,154.3698008,0.512506124,291.1434683,-215.8707573,426.688503
83,12,,14,8105.767724,0.999918229,492.5285007,180.9922078,8193.310632,262.0925781,0.623771983,-456.3543347,122.4532331,580.6239082
83,13,1,,,,,,,,,,,
83,14,1,,,,,,,,,,,
83,15,1,,,,,,,,,,,
83,16,1,,,,,,,,,,,
83,17,1,,,,,,,,,,,
83,18,1,,,,,,,,,,,
83,19,1,,,,,,,,,,,
83,20,1,,,,,,,,,,,
83,21,,8,4626.377575,0.999753721,562.8417148,210.7281846,4691.877193,393.733356,0.709857617,-343.5451201,-362.5205063,802.6365082
83,22,,19,5859.367957,0.999845028,-321.7089304,-358.2858167,5943.971295,205.748834,0.572205716,428.7659789,-186.1379601,458.071818
83,23,,15,6464.47812,0.999872264,203.0671003,-447.2245542,6550.249745,339.2784321,0.6787451,-448.6224335,359.6513713,648.833566
83,24,,9,2043.894206,0.998805523,111.1078023,-397.5816435,2106.253831,181.2302699,0.545553535,-57.81273718,348.6596546,497.9222125
83,25,,11,2801.741631,0.999347354,490.2919456,-361.0779213,2840.30957,191.3657655,0.55693712,-370.488422,401.472548,311.7389208
83,26,,6,1989.098928,0.998742154,-514.937935,-260.374766,2010.290831,190.4243159,0.55590236,505.8153139,-240.9567045,282.1137566
83,27,,16,2976.443993,0.999419281,-545.0262666,92.87680545,3029.619175,247.4718876,0.611497849,646.0159529,25.54943308,327.8874979
